optimization of intermediate and machine code
17 Q0 CACM-1223 1 11.041023693491494 BM25System
17 Q0 CACM-1947 2 10.741076526316828 BM25System
17 Q0 CACM-1658 3 10.619758874223725 BM25System
17 Q0 CACM-2495 4 9.975668039924283 BM25System
17 Q0 CACM-2491 5 9.877829494275794 BM25System
17 Q0 CACM-1795 6 9.699092758217656 BM25System
17 Q0 CACM-2253 7 9.09071300082099 BM25System
17 Q0 CACM-2748 8 9.018992702968387 BM25System
17 Q0 CACM-3080 9 7.954358322566085 BM25System
17 Q0 CACM-1676 10 7.5892427975265235 BM25System
17 Q0 CACM-3054 11 7.526106211728857 BM25System
17 Q0 CACM-2904 12 7.370579792162946 BM25System
17 Q0 CACM-3005 13 6.8769078097318665 BM25System
17 Q0 CACM-2464 14 6.851986798664808 BM25System
17 Q0 CACM-2929 15 6.239471531380955 BM25System
17 Q0 CACM-1523 16 6.1932795167935835 BM25System
17 Q0 CACM-1564 17 6.140882790206701 BM25System
17 Q0 CACM-1655 18 6.031507445468862 BM25System
17 Q0 CACM-3171 19 5.881626790152409 BM25System
17 Q0 CACM-1756 20 5.760228732604033 BM25System
17 Q0 CACM-2533 21 5.443774255167813 BM25System
17 Q0 CACM-2423 22 5.415618219189491 BM25System
17 Q0 CACM-2611 23 5.410228040964613 BM25System
17 Q0 CACM-1992 24 5.356227289055192 BM25System
17 Q0 CACM-0123 25 5.322125594718802 BM25System
17 Q0 CACM-1231 26 5.315855570703698 BM25System
17 Q0 CACM-1886 27 5.172385329587286 BM25System
17 Q0 CACM-1807 28 5.136296908352338 BM25System
17 Q0 CACM-0048 29 5.110763033768213 BM25System
17 Q0 CACM-1389 30 5.071390534132848 BM25System
17 Q0 CACM-1362 31 5.018462894589413 BM25System
17 Q0 CACM-2835 32 4.998200450166465 BM25System
17 Q0 CACM-0797 33 4.9757258020280055 BM25System
17 Q0 CACM-1154 34 4.956137678751556 BM25System
17 Q0 CACM-1757 35 4.937401863105105 BM25System
17 Q0 CACM-0195 36 4.934792451873826 BM25System
17 Q0 CACM-2701 37 4.8966060276038474 BM25System
17 Q0 CACM-1289 38 4.894527091752064 BM25System
17 Q0 CACM-2133 39 4.867486954705112 BM25System
17 Q0 CACM-1414 40 4.854913502639606 BM25System
17 Q0 CACM-1064 41 4.854913502639606 BM25System
17 Q0 CACM-0230 42 4.854913502639606 BM25System
17 Q0 CACM-1187 43 4.815935986368952 BM25System
17 Q0 CACM-2107 44 4.7968991046940825 BM25System
17 Q0 CACM-2944 45 4.767484882695719 BM25System
17 Q0 CACM-0066 46 4.702670277018004 BM25System
17 Q0 CACM-2138 47 4.693148688176709 BM25System
17 Q0 CACM-1652 48 4.6356452670266 BM25System
17 Q0 CACM-2290 49 4.603589230336979 BM25System
17 Q0 CACM-1402 50 4.5083923360175815 BM25System
17 Q0 CACM-1204 51 4.49194495466233 BM25System
17 Q0 CACM-2586 52 4.491404147966023 BM25System
17 Q0 CACM-2079 53 4.466384379644398 BM25System
17 Q0 CACM-2858 54 4.413970239802358 BM25System
17 Q0 CACM-0091 55 4.39308917813798 BM25System
17 Q0 CACM-0035 56 4.39308917813798 BM25System
17 Q0 CACM-2834 57 4.364890712220755 BM25System
17 Q0 CACM-0252 58 4.341720687691249 BM25System
17 Q0 CACM-2552 59 4.329326027563316 BM25System
17 Q0 CACM-2616 60 4.291686964198081 BM25System
17 Q0 CACM-0079 61 4.288951978637471 BM25System
17 Q0 CACM-2527 62 4.286261062375857 BM25System
17 Q0 CACM-3115 63 4.255783525979872 BM25System
17 Q0 CACM-1670 64 4.252278633036887 BM25System
17 Q0 CACM-0093 65 4.20784948040721 BM25System
17 Q0 CACM-2897 66 4.191035695666852 BM25System
17 Q0 CACM-2964 67 4.1895978187530485 BM25System
17 Q0 CACM-3066 68 4.161931023280232 BM25System
17 Q0 CACM-2433 69 4.109324368749302 BM25System
17 Q0 CACM-2836 70 4.051412246106797 BM25System
17 Q0 CACM-1973 71 4.046030193210238 BM25System
17 Q0 CACM-1783 72 3.980361754754127 BM25System
17 Q0 CACM-1016 73 3.9798638637306136 BM25System
17 Q0 CACM-2624 74 3.934992116911185 BM25System
17 Q0 CACM-1275 75 3.9028729287826764 BM25System
17 Q0 CACM-1232 76 3.892992995423923 BM25System
17 Q0 CACM-2344 77 3.883833778167561 BM25System
17 Q0 CACM-1786 78 3.84529839002317 BM25System
17 Q0 CACM-1065 79 3.7167820173422412 BM25System
17 Q0 CACM-0333 80 3.6889527875969153 BM25System
17 Q0 CACM-1852 81 3.6851443790608593 BM25System
17 Q0 CACM-1542 82 3.675040408475997 BM25System
17 Q0 CACM-1066 83 3.5940296358313675 BM25System
17 Q0 CACM-2919 84 3.56892747322893 BM25System
17 Q0 CACM-1665 85 3.5648654536835522 BM25System
17 Q0 CACM-2411 86 3.558124777014689 BM25System
17 Q0 CACM-1162 87 3.5150961083021652 BM25System
17 Q0 CACM-0210 88 3.459010487072533 BM25System
17 Q0 CACM-1392 89 3.4296849448406426 BM25System
17 Q0 CACM-1062 90 3.425938686277371 BM25System
17 Q0 CACM-1619 91 3.415839687862553 BM25System
17 Q0 CACM-2537 92 3.4133870406366964 BM25System
17 Q0 CACM-2680 93 3.376337710382616 BM25System
17 Q0 CACM-3150 94 3.330143716309676 BM25System
17 Q0 CACM-2888 95 3.3013686021000703 BM25System
17 Q0 CACM-3173 96 3.2893262039385975 BM25System
17 Q0 CACM-1167 97 3.235451710028755 BM25System
17 Q0 CACM-1387 98 3.214869355667335 BM25System
17 Q0 CACM-1651 99 3.2042405480951595 BM25System
17 Q0 CACM-2746 100 3.2040213869017258 BM25System
