Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              R              0.5           0.0833
3              N              0.3333         0.0833
4              R              0.5           0.1667
5              N              0.4           0.1667
6              R              0.5             0.25
7              R              0.5714         0.3333
8              N              0.5           0.3333
9              N              0.4444         0.3333
10             N              0.4           0.3333
11             R              0.4545         0.4167
12             R              0.5              0.5
13             R              0.5385         0.5833
14             N              0.5           0.5833
15             N              0.4667         0.5833
16             N              0.4375         0.5833
17             N              0.4118         0.5833
18             N              0.3889         0.5833
19             N              0.3684         0.5833
20             N              0.35          0.5833
21             N              0.3333         0.5833
22             R              0.3636         0.6667
23             N              0.3478         0.6667
24             N              0.3333         0.6667
25             N              0.32          0.6667
26             N              0.3077         0.6667
27             N              0.2963         0.6667
28             N              0.2857         0.6667
29             N              0.2759         0.6667
30             R              0.3             0.75
31             N              0.2903           0.75
32             N              0.2812           0.75
33             N              0.2727           0.75
34             N              0.2647           0.75
35             N              0.2571           0.75
36             N              0.25            0.75
37             R              0.2703         0.8333
38             N              0.2632         0.8333
39             N              0.2564         0.8333
40             N              0.25          0.8333
41             N              0.2439         0.8333
42             N              0.2381         0.8333
43             N              0.2326         0.8333
44             N              0.2273         0.8333
45             N              0.2222         0.8333
46             N              0.2174         0.8333
47             N              0.2128         0.8333
48             N              0.2083         0.8333
49             N              0.2041         0.8333
50             N              0.2           0.8333
51             N              0.1961         0.8333
52             N              0.1923         0.8333
53             N              0.1887         0.8333
54             N              0.1852         0.8333
55             N              0.1818         0.8333
56             N              0.1786         0.8333
57             N              0.1754         0.8333
58             N              0.1724         0.8333
59             N              0.1695         0.8333
60             N              0.1667         0.8333
61             N              0.1639         0.8333
62             N              0.1613         0.8333
63             N              0.1587         0.8333
64             N              0.1562         0.8333
65             N              0.1538         0.8333
66             N              0.1515         0.8333
67             R              0.1642         0.9167
68             N              0.1618         0.9167
69             N              0.1594         0.9167
70             N              0.1571         0.9167
71             N              0.1549         0.9167
72             N              0.1528         0.9167
73             N              0.1507         0.9167
74             N              0.1486         0.9167
75             N              0.1467         0.9167
76             N              0.1447         0.9167
77             N              0.1429         0.9167
78             N              0.141         0.9167
79             N              0.1392         0.9167
80             N              0.1375         0.9167
81             N              0.1358         0.9167
82             N              0.1341         0.9167
83             N              0.1325         0.9167
84             N              0.131         0.9167
85             N              0.1294         0.9167
86             N              0.1279         0.9167
87             N              0.1264         0.9167
88             N              0.125         0.9167
89             N              0.1236         0.9167
90             N              0.1222         0.9167
91             N              0.1209         0.9167
92             N              0.1196         0.9167
93             N              0.1183         0.9167
94             N              0.117         0.9167
95             N              0.1158         0.9167
96             N              0.1146         0.9167
97             N              0.1134         0.9167
98             N              0.1122         0.9167
99             N              0.1111         0.9167
100            N              0.11          0.9167
**********************************

Average Precision -> 0.42386363636363633
Precision at K = 5 :0.4
Precision at K = 20 :0.35
