Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              R              0.5           0.3333
3              N              0.3333         0.3333
4              N              0.25          0.3333
5              N              0.2           0.3333
6              N              0.1667         0.3333
7              N              0.1429         0.3333
8              R              0.25          0.6667
9              N              0.2222         0.6667
10             N              0.2           0.6667
11             N              0.1818         0.6667
12             N              0.1667         0.6667
13             N              0.1538         0.6667
14             N              0.1429         0.6667
15             N              0.1333         0.6667
16             N              0.125         0.6667
17             N              0.1176         0.6667
18             N              0.1111         0.6667
19             N              0.1053         0.6667
20             N              0.1           0.6667
21             N              0.0952         0.6667
22             N              0.0909         0.6667
23             N              0.087         0.6667
24             N              0.0833         0.6667
25             N              0.08          0.6667
26             N              0.0769         0.6667
27             N              0.0741         0.6667
28             N              0.0714         0.6667
29             N              0.069         0.6667
30             N              0.0667         0.6667
31             N              0.0645         0.6667
32             N              0.0625         0.6667
33             N              0.0606         0.6667
34             N              0.0588         0.6667
35             N              0.0571         0.6667
36             N              0.0556         0.6667
37             N              0.0541         0.6667
38             N              0.0526         0.6667
39             N              0.0513         0.6667
40             N              0.05          0.6667
41             N              0.0488         0.6667
42             N              0.0476         0.6667
43             N              0.0465         0.6667
44             N              0.0455         0.6667
45             N              0.0444         0.6667
46             N              0.0435         0.6667
47             N              0.0426         0.6667
48             N              0.0417         0.6667
49             N              0.0408         0.6667
50             N              0.04          0.6667
51             N              0.0392         0.6667
52             N              0.0385         0.6667
53             N              0.0377         0.6667
54             N              0.037         0.6667
55             N              0.0364         0.6667
56             N              0.0357         0.6667
57             N              0.0351         0.6667
58             N              0.0345         0.6667
59             N              0.0339         0.6667
60             N              0.0333         0.6667
61             N              0.0328         0.6667
62             N              0.0323         0.6667
63             N              0.0317         0.6667
64             N              0.0312         0.6667
65             N              0.0308         0.6667
66             N              0.0303         0.6667
67             N              0.0299         0.6667
68             N              0.0294         0.6667
69             N              0.029         0.6667
70             N              0.0286         0.6667
71             N              0.0282         0.6667
72             N              0.0278         0.6667
73             N              0.0274         0.6667
74             N              0.027         0.6667
75             N              0.0267         0.6667
76             N              0.0263         0.6667
77             N              0.026         0.6667
78             N              0.0256         0.6667
79             N              0.0253         0.6667
80             N              0.025         0.6667
81             N              0.0247         0.6667
82             N              0.0244         0.6667
83             N              0.0241         0.6667
84             N              0.0238         0.6667
85             N              0.0235         0.6667
86             N              0.0233         0.6667
87             N              0.023         0.6667
88             N              0.0227         0.6667
89             N              0.0225         0.6667
90             N              0.0222         0.6667
91             N              0.022         0.6667
92             N              0.0217         0.6667
93             N              0.0215         0.6667
94             N              0.0213         0.6667
95             N              0.0211         0.6667
96             N              0.0208         0.6667
97             N              0.0206         0.6667
98             N              0.0204         0.6667
99             N              0.0202         0.6667
100            N              0.02          0.6667
**********************************

Average Precision -> 0.375
Precision at K = 5 :0.2
Precision at K = 20 :0.1
