Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              R              0.25          0.0244
5              R              0.4           0.0488
6              N              0.3333         0.0488
7              N              0.2857         0.0488
8              N              0.25          0.0488
9              N              0.2222         0.0488
10             R              0.3           0.0732
11             R              0.3636         0.0976
12             N              0.3333         0.0976
13             N              0.3077         0.0976
14             N              0.2857         0.0976
15             N              0.2667         0.0976
16             N              0.25          0.0976
17             N              0.2353         0.0976
18             N              0.2222         0.0976
19             N              0.2105         0.0976
20             N              0.2           0.0976
21             N              0.1905         0.0976
22             R              0.2273          0.122
23             N              0.2174          0.122
24             R              0.25          0.1463
25             N              0.24          0.1463
26             N              0.2308         0.1463
27             N              0.2222         0.1463
28             N              0.2143         0.1463
29             N              0.2069         0.1463
30             N              0.2           0.1463
31             R              0.2258         0.1707
32             N              0.2188         0.1707
33             N              0.2121         0.1707
34             N              0.2059         0.1707
35             N              0.2           0.1707
36             N              0.1944         0.1707
37             N              0.1892         0.1707
38             N              0.1842         0.1707
39             N              0.1795         0.1707
40             N              0.175         0.1707
41             N              0.1707         0.1707
42             N              0.1667         0.1707
43             N              0.1628         0.1707
44             N              0.1591         0.1707
45             N              0.1556         0.1707
46             N              0.1522         0.1707
47             N              0.1489         0.1707
48             N              0.1458         0.1707
49             N              0.1429         0.1707
50             N              0.14          0.1707
51             N              0.1373         0.1707
52             N              0.1346         0.1707
53             N              0.1321         0.1707
54             N              0.1296         0.1707
55             N              0.1273         0.1707
56             N              0.125         0.1707
57             N              0.1228         0.1707
58             N              0.1207         0.1707
59             N              0.1186         0.1707
60             N              0.1167         0.1707
61             N              0.1148         0.1707
62             N              0.1129         0.1707
63             N              0.1111         0.1707
64             N              0.1094         0.1707
65             N              0.1077         0.1707
66             N              0.1061         0.1707
67             N              0.1045         0.1707
68             N              0.1029         0.1707
69             N              0.1014         0.1707
70             N              0.1           0.1707
71             N              0.0986         0.1707
72             R              0.1111         0.1951
73             N              0.1096         0.1951
74             N              0.1081         0.1951
75             N              0.1067         0.1951
76             N              0.1053         0.1951
77             N              0.1039         0.1951
78             N              0.1026         0.1951
79             N              0.1013         0.1951
80             N              0.1           0.1951
81             N              0.0988         0.1951
82             N              0.0976         0.1951
83             N              0.0964         0.1951
84             N              0.0952         0.1951
85             N              0.0941         0.1951
86             N              0.093         0.1951
87             N              0.092         0.1951
88             R              0.1023         0.2195
89             N              0.1011         0.2195
90             N              0.1           0.2195
91             N              0.0989         0.2195
92             N              0.0978         0.2195
93             N              0.0968         0.2195
94             N              0.0957         0.2195
95             N              0.0947         0.2195
96             N              0.0938         0.2195
97             N              0.0928         0.2195
98             N              0.0918         0.2195
99             N              0.0909         0.2195
100            N              0.09          0.2195
**********************************

Average Precision -> 0.24778888888888892
Precision at K = 5 :0.4
Precision at K = 20 :0.2
