Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              R              0.5           0.0526
3              R              0.6667         0.1053
4              R              0.75          0.1579
5              R              0.8           0.2105
6              N              0.6667         0.2105
7              R              0.7143         0.2632
8              R              0.75          0.3158
9              R              0.7778         0.3684
10             R              0.8           0.4211
11             N              0.7273         0.4211
12             R              0.75          0.4737
13             R              0.7692         0.5263
14             N              0.7143         0.5263
15             N              0.6667         0.5263
16             N              0.625         0.5263
17             N              0.5882         0.5263
18             N              0.5556         0.5263
19             N              0.5263         0.5263
20             N              0.5           0.5263
21             N              0.4762         0.5263
22             N              0.4545         0.5263
23             N              0.4348         0.5263
24             N              0.4167         0.5263
25             N              0.4           0.5263
26             N              0.3846         0.5263
27             N              0.3704         0.5263
28             N              0.3571         0.5263
29             R              0.3793         0.5789
30             N              0.3667         0.5789
31             N              0.3548         0.5789
32             N              0.3438         0.5789
33             N              0.3333         0.5789
34             N              0.3235         0.5789
35             N              0.3143         0.5789
36             N              0.3056         0.5789
37             N              0.2973         0.5789
38             N              0.2895         0.5789
39             N              0.2821         0.5789
40             N              0.275         0.5789
41             N              0.2683         0.5789
42             N              0.2619         0.5789
43             N              0.2558         0.5789
44             N              0.25          0.5789
45             N              0.2444         0.5789
46             N              0.2391         0.5789
47             N              0.234         0.5789
48             R              0.25          0.6316
49             N              0.2449         0.6316
50             N              0.24          0.6316
51             N              0.2353         0.6316
52             N              0.2308         0.6316
53             N              0.2264         0.6316
54             N              0.2222         0.6316
55             N              0.2182         0.6316
56             N              0.2143         0.6316
57             N              0.2105         0.6316
58             N              0.2069         0.6316
59             N              0.2034         0.6316
60             N              0.2           0.6316
61             N              0.1967         0.6316
62             N              0.1935         0.6316
63             N              0.1905         0.6316
64             N              0.1875         0.6316
65             N              0.1846         0.6316
66             N              0.1818         0.6316
67             N              0.1791         0.6316
68             N              0.1765         0.6316
69             N              0.1739         0.6316
70             N              0.1714         0.6316
71             N              0.169         0.6316
72             N              0.1667         0.6316
73             N              0.1644         0.6316
74             N              0.1622         0.6316
75             N              0.16          0.6316
76             N              0.1579         0.6316
77             N              0.1558         0.6316
78             N              0.1538         0.6316
79             N              0.1519         0.6316
80             N              0.15          0.6316
81             N              0.1481         0.6316
82             N              0.1463         0.6316
83             N              0.1446         0.6316
84             N              0.1429         0.6316
85             N              0.1412         0.6316
86             N              0.1395         0.6316
87             N              0.1379         0.6316
88             N              0.1364         0.6316
89             N              0.1348         0.6316
90             N              0.1333         0.6316
91             N              0.1319         0.6316
92             N              0.1304         0.6316
93             N              0.129         0.6316
94             N              0.1277         0.6316
95             N              0.1263         0.6316
96             N              0.125         0.6316
97             N              0.1237         0.6316
98             N              0.1224         0.6316
99             N              0.1212         0.6316
100            N              0.12          0.6316
**********************************

Average Precision -> 0.6589416666666666
Precision at K = 5 :0.8
Precision at K = 20 :0.5
