Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              N              0.0              0.0
6              N              0.0              0.0
7              R              0.1429          0.125
8              N              0.125          0.125
9              N              0.1111          0.125
10             N              0.1            0.125
11             N              0.0909          0.125
12             N              0.0833          0.125
13             N              0.0769          0.125
14             N              0.0714          0.125
15             N              0.0667          0.125
16             N              0.0625          0.125
17             N              0.0588          0.125
18             N              0.0556          0.125
19             N              0.0526          0.125
20             N              0.05           0.125
21             N              0.0476          0.125
22             N              0.0455          0.125
23             N              0.0435          0.125
24             N              0.0417          0.125
25             N              0.04           0.125
26             N              0.0385          0.125
27             N              0.037          0.125
28             N              0.0357          0.125
29             N              0.0345          0.125
30             N              0.0333          0.125
31             N              0.0323          0.125
32             N              0.0312          0.125
33             N              0.0303          0.125
34             N              0.0294          0.125
35             N              0.0286          0.125
36             N              0.0278          0.125
37             N              0.027          0.125
38             N              0.0263          0.125
39             R              0.0513           0.25
40             N              0.05            0.25
41             N              0.0488           0.25
42             N              0.0476           0.25
43             N              0.0465           0.25
44             N              0.0455           0.25
45             N              0.0444           0.25
46             N              0.0435           0.25
47             N              0.0426           0.25
48             N              0.0417           0.25
49             N              0.0408           0.25
50             N              0.04            0.25
51             N              0.0392           0.25
52             N              0.0385           0.25
53             N              0.0377           0.25
54             N              0.037           0.25
55             N              0.0364           0.25
56             N              0.0357           0.25
57             N              0.0351           0.25
58             N              0.0345           0.25
59             N              0.0339           0.25
60             N              0.0333           0.25
61             N              0.0328           0.25
62             N              0.0323           0.25
63             N              0.0317           0.25
64             N              0.0312           0.25
65             N              0.0308           0.25
66             N              0.0303           0.25
67             N              0.0299           0.25
68             N              0.0294           0.25
69             N              0.029           0.25
70             N              0.0286           0.25
71             N              0.0282           0.25
72             N              0.0278           0.25
73             N              0.0274           0.25
74             N              0.027           0.25
75             N              0.0267           0.25
76             N              0.0263           0.25
77             N              0.026           0.25
78             N              0.0256           0.25
79             N              0.0253           0.25
80             N              0.025           0.25
81             N              0.0247           0.25
82             N              0.0244           0.25
83             N              0.0241           0.25
84             N              0.0238           0.25
85             N              0.0235           0.25
86             N              0.0233           0.25
87             N              0.023           0.25
88             N              0.0227           0.25
89             N              0.0225           0.25
90             N              0.0222           0.25
91             N              0.022           0.25
92             N              0.0217           0.25
93             N              0.0215           0.25
94             N              0.0213           0.25
95             N              0.0211           0.25
96             N              0.0208           0.25
97             N              0.0206           0.25
98             N              0.0204           0.25
99             N              0.0202           0.25
100            N              0.02            0.25
**********************************

Average Precision -> 0.09709999999999999
Precision at K = 5 :0.0
Precision at K = 20 :0.05
