Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              R              0.5           0.0476
3              N              0.3333         0.0476
4              N              0.25          0.0476
5              N              0.2           0.0476
6              N              0.1667         0.0476
7              N              0.1429         0.0476
8              N              0.125         0.0476
9              N              0.1111         0.0476
10             N              0.1           0.0476
11             N              0.0909         0.0476
12             R              0.1667         0.0952
13             N              0.1538         0.0952
14             N              0.1429         0.0952
15             N              0.1333         0.0952
16             N              0.125         0.0952
17             N              0.1176         0.0952
18             N              0.1111         0.0952
19             N              0.1053         0.0952
20             N              0.1           0.0952
21             N              0.0952         0.0952
22             N              0.0909         0.0952
23             N              0.087         0.0952
24             N              0.0833         0.0952
25             N              0.08          0.0952
26             N              0.0769         0.0952
27             N              0.0741         0.0952
28             R              0.1071         0.1429
29             N              0.1034         0.1429
30             N              0.1           0.1429
31             N              0.0968         0.1429
32             N              0.0938         0.1429
33             N              0.0909         0.1429
34             N              0.0882         0.1429
35             N              0.0857         0.1429
36             N              0.0833         0.1429
37             R              0.1081         0.1905
38             R              0.1316         0.2381
39             N              0.1282         0.2381
40             N              0.125         0.2381
41             N              0.122         0.2381
42             N              0.119         0.2381
43             N              0.1163         0.2381
44             N              0.1136         0.2381
45             R              0.1333         0.2857
46             N              0.1304         0.2857
47             N              0.1277         0.2857
48             N              0.125         0.2857
49             N              0.1224         0.2857
50             N              0.12          0.2857
51             N              0.1176         0.2857
52             N              0.1154         0.2857
53             N              0.1132         0.2857
54             N              0.1111         0.2857
55             N              0.1091         0.2857
56             N              0.1071         0.2857
57             N              0.1053         0.2857
58             N              0.1034         0.2857
59             N              0.1017         0.2857
60             N              0.1           0.2857
61             N              0.0984         0.2857
62             N              0.0968         0.2857
63             N              0.0952         0.2857
64             N              0.0938         0.2857
65             N              0.0923         0.2857
66             N              0.0909         0.2857
67             N              0.0896         0.2857
68             N              0.0882         0.2857
69             N              0.087         0.2857
70             N              0.0857         0.2857
71             N              0.0845         0.2857
72             N              0.0833         0.2857
73             N              0.0822         0.2857
74             N              0.0811         0.2857
75             N              0.08          0.2857
76             N              0.0789         0.2857
77             N              0.0779         0.2857
78             N              0.0769         0.2857
79             N              0.0759         0.2857
80             N              0.075         0.2857
81             N              0.0741         0.2857
82             N              0.0732         0.2857
83             N              0.0723         0.2857
84             N              0.0714         0.2857
85             N              0.0706         0.2857
86             N              0.0698         0.2857
87             N              0.069         0.2857
88             N              0.0682         0.2857
89             N              0.0674         0.2857
90             N              0.0667         0.2857
91             N              0.0659         0.2857
92             N              0.0652         0.2857
93             R              0.0753         0.3333
94             N              0.0745         0.3333
95             N              0.0737         0.3333
96             N              0.0729         0.3333
97             N              0.0722         0.3333
98             N              0.0714         0.3333
99             N              0.0707         0.3333
100            N              0.07          0.3333
**********************************

Average Precision -> 0.17458571428571426
Precision at K = 5 :0.2
Precision at K = 20 :0.1
