Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              N              0.0              0.0
6              N              0.0              0.0
7              N              0.0              0.0
8              N              0.0              0.0
9              N              0.0              0.0
10             N              0.0              0.0
11             N              0.0              0.0
12             N              0.0              0.0
13             N              0.0              0.0
14             N              0.0              0.0
15             N              0.0              0.0
16             N              0.0              0.0
17             N              0.0              0.0
18             N              0.0              0.0
19             N              0.0              0.0
20             N              0.0              0.0
21             N              0.0              0.0
22             R              0.0455         0.1667
23             R              0.087         0.3333
24             N              0.0833         0.3333
25             N              0.08          0.3333
26             N              0.0769         0.3333
27             N              0.0741         0.3333
28             N              0.0714         0.3333
29             N              0.069         0.3333
30             N              0.0667         0.3333
31             N              0.0645         0.3333
32             N              0.0625         0.3333
33             N              0.0606         0.3333
34             N              0.0588         0.3333
35             N              0.0571         0.3333
36             N              0.0556         0.3333
37             N              0.0541         0.3333
38             N              0.0526         0.3333
39             N              0.0513         0.3333
40             N              0.05          0.3333
41             N              0.0488         0.3333
42             N              0.0476         0.3333
43             N              0.0465         0.3333
44             N              0.0455         0.3333
45             N              0.0444         0.3333
46             N              0.0435         0.3333
47             N              0.0426         0.3333
48             N              0.0417         0.3333
49             N              0.0408         0.3333
50             N              0.04          0.3333
51             N              0.0392         0.3333
52             N              0.0385         0.3333
53             N              0.0377         0.3333
54             N              0.037         0.3333
55             N              0.0364         0.3333
56             N              0.0357         0.3333
57             N              0.0351         0.3333
58             N              0.0345         0.3333
59             N              0.0339         0.3333
60             N              0.0333         0.3333
61             N              0.0328         0.3333
62             N              0.0323         0.3333
63             N              0.0317         0.3333
64             N              0.0312         0.3333
65             N              0.0308         0.3333
66             N              0.0303         0.3333
67             N              0.0299         0.3333
68             N              0.0294         0.3333
69             N              0.029         0.3333
70             N              0.0286         0.3333
71             N              0.0282         0.3333
72             N              0.0278         0.3333
73             N              0.0274         0.3333
74             N              0.027         0.3333
75             N              0.0267         0.3333
76             N              0.0263         0.3333
77             N              0.026         0.3333
78             N              0.0256         0.3333
79             N              0.0253         0.3333
80             N              0.025         0.3333
81             N              0.0247         0.3333
82             N              0.0244         0.3333
83             N              0.0241         0.3333
84             N              0.0238         0.3333
85             N              0.0235         0.3333
86             N              0.0233         0.3333
87             N              0.023         0.3333
88             N              0.0227         0.3333
89             N              0.0225         0.3333
90             N              0.0222         0.3333
91             N              0.022         0.3333
92             N              0.0217         0.3333
93             N              0.0215         0.3333
94             N              0.0213         0.3333
95             N              0.0211         0.3333
96             N              0.0208         0.3333
97             N              0.0206         0.3333
98             N              0.0204         0.3333
99             N              0.0202         0.3333
100            N              0.02          0.3333
**********************************

Average Precision -> 0.06625
Precision at K = 5 :0.0
Precision at K = 20 :0.0
