Rank		Relevance		Precision		Recall
1              R              1.0           0.3333
2              N              0.5           0.3333
3              N              0.3333         0.3333
4              N              0.25          0.3333
5              N              0.2           0.3333
6              N              0.1667         0.3333
7              N              0.1429         0.3333
8              N              0.125         0.3333
9              N              0.1111         0.3333
10             N              0.1           0.3333
11             N              0.0909         0.3333
12             N              0.0833         0.3333
13             N              0.0769         0.3333
14             N              0.0714         0.3333
15             N              0.0667         0.3333
16             N              0.0625         0.3333
17             N              0.0588         0.3333
18             N              0.0556         0.3333
19             N              0.0526         0.3333
20             N              0.05          0.3333
21             N              0.0476         0.3333
22             N              0.0455         0.3333
23             N              0.0435         0.3333
24             N              0.0417         0.3333
25             N              0.04          0.3333
26             N              0.0385         0.3333
27             N              0.037         0.3333
28             N              0.0357         0.3333
29             N              0.0345         0.3333
30             N              0.0333         0.3333
31             N              0.0323         0.3333
32             N              0.0312         0.3333
33             N              0.0303         0.3333
34             N              0.0294         0.3333
35             N              0.0286         0.3333
36             N              0.0278         0.3333
37             N              0.027         0.3333
38             N              0.0263         0.3333
39             N              0.0256         0.3333
40             N              0.025         0.3333
41             N              0.0244         0.3333
42             N              0.0238         0.3333
43             N              0.0233         0.3333
44             N              0.0227         0.3333
45             N              0.0222         0.3333
46             N              0.0217         0.3333
47             N              0.0213         0.3333
48             N              0.0208         0.3333
49             N              0.0204         0.3333
50             N              0.02          0.3333
51             N              0.0196         0.3333
52             N              0.0192         0.3333
53             N              0.0189         0.3333
54             N              0.0185         0.3333
55             N              0.0182         0.3333
56             N              0.0179         0.3333
57             N              0.0175         0.3333
58             N              0.0172         0.3333
59             N              0.0169         0.3333
60             N              0.0167         0.3333
61             N              0.0164         0.3333
62             N              0.0161         0.3333
63             N              0.0159         0.3333
64             N              0.0156         0.3333
65             N              0.0154         0.3333
66             N              0.0152         0.3333
67             N              0.0149         0.3333
68             N              0.0147         0.3333
69             N              0.0145         0.3333
70             N              0.0143         0.3333
71             N              0.0141         0.3333
72             N              0.0139         0.3333
73             N              0.0137         0.3333
74             N              0.0135         0.3333
75             N              0.0133         0.3333
76             N              0.0132         0.3333
77             N              0.013         0.3333
78             N              0.0128         0.3333
79             N              0.0127         0.3333
80             N              0.0125         0.3333
81             N              0.0123         0.3333
82             N              0.0122         0.3333
83             N              0.012         0.3333
84             N              0.0119         0.3333
85             N              0.0118         0.3333
86             N              0.0116         0.3333
87             N              0.0115         0.3333
88             N              0.0114         0.3333
89             N              0.0112         0.3333
90             N              0.0111         0.3333
91             N              0.011         0.3333
92             N              0.0109         0.3333
93             N              0.0108         0.3333
94             N              0.0106         0.3333
95             N              0.0105         0.3333
96             N              0.0104         0.3333
97             N              0.0103         0.3333
98             N              0.0102         0.3333
99             N              0.0101         0.3333
100            N              0.01          0.3333
**********************************

Average Precision -> 1.0
Precision at K = 5 :0.2
Precision at K = 20 :0.05
