Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              R              0.2           0.0909
6              N              0.1667         0.0909
7              N              0.1429         0.0909
8              N              0.125         0.0909
9              N              0.1111         0.0909
10             N              0.1           0.0909
11             N              0.0909         0.0909
12             N              0.0833         0.0909
13             N              0.0769         0.0909
14             N              0.0714         0.0909
15             N              0.0667         0.0909
16             N              0.0625         0.0909
17             N              0.0588         0.0909
18             N              0.0556         0.0909
19             N              0.0526         0.0909
20             N              0.05          0.0909
21             N              0.0476         0.0909
22             N              0.0455         0.0909
23             N              0.0435         0.0909
24             N              0.0417         0.0909
25             N              0.04          0.0909
26             N              0.0385         0.0909
27             N              0.037         0.0909
28             R              0.0714         0.1818
29             N              0.069         0.1818
30             N              0.0667         0.1818
31             N              0.0645         0.1818
32             N              0.0625         0.1818
33             N              0.0606         0.1818
34             N              0.0588         0.1818
35             N              0.0571         0.1818
36             N              0.0556         0.1818
37             N              0.0541         0.1818
38             R              0.0789         0.2727
39             N              0.0769         0.2727
40             N              0.075         0.2727
41             N              0.0732         0.2727
42             N              0.0714         0.2727
43             N              0.0698         0.2727
44             R              0.0909         0.3636
45             N              0.0889         0.3636
46             N              0.087         0.3636
47             N              0.0851         0.3636
48             N              0.0833         0.3636
49             N              0.0816         0.3636
50             N              0.08          0.3636
51             R              0.098         0.4545
52             N              0.0962         0.4545
53             N              0.0943         0.4545
54             N              0.0926         0.4545
55             N              0.0909         0.4545
56             R              0.1071         0.5455
57             N              0.1053         0.5455
58             N              0.1034         0.5455
59             N              0.1017         0.5455
60             N              0.1           0.5455
61             N              0.0984         0.5455
62             N              0.0968         0.5455
63             N              0.0952         0.5455
64             N              0.0938         0.5455
65             N              0.0923         0.5455
66             N              0.0909         0.5455
67             N              0.0896         0.5455
68             N              0.0882         0.5455
69             N              0.087         0.5455
70             N              0.0857         0.5455
71             N              0.0845         0.5455
72             N              0.0833         0.5455
73             N              0.0822         0.5455
74             N              0.0811         0.5455
75             N              0.08          0.5455
76             N              0.0789         0.5455
77             N              0.0779         0.5455
78             N              0.0769         0.5455
79             N              0.0759         0.5455
80             N              0.075         0.5455
81             N              0.0741         0.5455
82             N              0.0732         0.5455
83             N              0.0723         0.5455
84             N              0.0714         0.5455
85             N              0.0706         0.5455
86             N              0.0698         0.5455
87             N              0.069         0.5455
88             N              0.0682         0.5455
89             N              0.0674         0.5455
90             N              0.0667         0.5455
91             N              0.0659         0.5455
92             N              0.0652         0.5455
93             N              0.0645         0.5455
94             N              0.0638         0.5455
95             N              0.0632         0.5455
96             N              0.0625         0.5455
97             N              0.0619         0.5455
98             N              0.0612         0.5455
99             N              0.0606         0.5455
100            N              0.06          0.5455
**********************************

Average Precision -> 0.10771666666666667
Precision at K = 5 :0.2
Precision at K = 20 :0.05
