Rank		Relevance		Precision		Recall
1              R              1.0           0.0323
2              N              0.5           0.0323
3              N              0.3333         0.0323
4              R              0.5           0.0645
5              R              0.6           0.0968
6              R              0.6667          0.129
7              R              0.7143         0.1613
8              N              0.625         0.1613
9              N              0.5556         0.1613
10             N              0.5           0.1613
11             N              0.4545         0.1613
12             R              0.5           0.1935
13             R              0.5385         0.2258
14             N              0.5           0.2258
15             N              0.4667         0.2258
16             N              0.4375         0.2258
17             N              0.4118         0.2258
18             N              0.3889         0.2258
19             N              0.3684         0.2258
20             N              0.35          0.2258
21             N              0.3333         0.2258
22             N              0.3182         0.2258
23             N              0.3043         0.2258
24             N              0.2917         0.2258
25             N              0.28          0.2258
26             N              0.2692         0.2258
27             N              0.2593         0.2258
28             N              0.25          0.2258
29             N              0.2414         0.2258
30             N              0.2333         0.2258
31             N              0.2258         0.2258
32             N              0.2188         0.2258
33             N              0.2121         0.2258
34             N              0.2059         0.2258
35             N              0.2           0.2258
36             N              0.1944         0.2258
37             N              0.1892         0.2258
38             N              0.1842         0.2258
39             N              0.1795         0.2258
40             N              0.175         0.2258
41             N              0.1707         0.2258
42             N              0.1667         0.2258
43             N              0.1628         0.2258
44             N              0.1591         0.2258
45             N              0.1556         0.2258
46             N              0.1522         0.2258
47             N              0.1489         0.2258
48             N              0.1458         0.2258
49             N              0.1429         0.2258
50             N              0.14          0.2258
51             N              0.1373         0.2258
52             N              0.1346         0.2258
53             N              0.1321         0.2258
54             N              0.1296         0.2258
55             N              0.1273         0.2258
56             N              0.125         0.2258
57             N              0.1228         0.2258
58             N              0.1207         0.2258
59             N              0.1186         0.2258
60             N              0.1167         0.2258
61             N              0.1148         0.2258
62             N              0.1129         0.2258
63             N              0.1111         0.2258
64             N              0.1094         0.2258
65             N              0.1077         0.2258
66             N              0.1061         0.2258
67             R              0.1194         0.2581
68             N              0.1176         0.2581
69             N              0.1159         0.2581
70             N              0.1143         0.2581
71             N              0.1127         0.2581
72             N              0.1111         0.2581
73             N              0.1096         0.2581
74             N              0.1081         0.2581
75             N              0.1067         0.2581
76             N              0.1053         0.2581
77             N              0.1039         0.2581
78             N              0.1026         0.2581
79             N              0.1013         0.2581
80             N              0.1           0.2581
81             N              0.0988         0.2581
82             N              0.0976         0.2581
83             N              0.0964         0.2581
84             N              0.0952         0.2581
85             N              0.0941         0.2581
86             N              0.093         0.2581
87             N              0.092         0.2581
88             N              0.0909         0.2581
89             N              0.0899         0.2581
90             N              0.0889         0.2581
91             N              0.0879         0.2581
92             N              0.087         0.2581
93             N              0.086         0.2581
94             N              0.0851         0.2581
95             N              0.0842         0.2581
96             N              0.0833         0.2581
97             N              0.0825         0.2581
98             N              0.0816         0.2581
99             N              0.0808         0.2581
100            N              0.08          0.2581
**********************************

Average Precision -> 0.5798625000000001
Precision at K = 5 :0.6
Precision at K = 20 :0.35
