Rank		Relevance		Precision		Recall
1              R              1.0              0.2
2              R              1.0              0.4
3              N              0.6667            0.4
4              R              0.75             0.6
5              N              0.6              0.6
6              N              0.5              0.6
7              N              0.4286            0.6
8              N              0.375            0.6
9              N              0.3333            0.6
10             N              0.3              0.6
11             N              0.2727            0.6
12             N              0.25             0.6
13             N              0.2308            0.6
14             N              0.2143            0.6
15             N              0.2              0.6
16             N              0.1875            0.6
17             N              0.1765            0.6
18             N              0.1667            0.6
19             N              0.1579            0.6
20             N              0.15             0.6
21             N              0.1429            0.6
22             N              0.1364            0.6
23             N              0.1304            0.6
24             N              0.125            0.6
25             N              0.12             0.6
26             N              0.1154            0.6
27             N              0.1111            0.6
28             N              0.1071            0.6
29             N              0.1034            0.6
30             N              0.1              0.6
31             N              0.0968            0.6
32             N              0.0938            0.6
33             N              0.0909            0.6
34             N              0.0882            0.6
35             N              0.0857            0.6
36             N              0.0833            0.6
37             N              0.0811            0.6
38             N              0.0789            0.6
39             N              0.0769            0.6
40             N              0.075            0.6
41             N              0.0732            0.6
42             N              0.0714            0.6
43             N              0.0698            0.6
44             N              0.0682            0.6
45             N              0.0667            0.6
46             N              0.0652            0.6
47             N              0.0638            0.6
48             N              0.0625            0.6
49             N              0.0612            0.6
50             N              0.06             0.6
51             N              0.0588            0.6
52             N              0.0577            0.6
53             N              0.0566            0.6
54             N              0.0556            0.6
55             N              0.0545            0.6
56             N              0.0536            0.6
57             N              0.0526            0.6
58             N              0.0517            0.6
59             N              0.0508            0.6
60             N              0.05             0.6
61             N              0.0492            0.6
62             N              0.0484            0.6
63             N              0.0476            0.6
64             N              0.0469            0.6
65             N              0.0462            0.6
66             N              0.0455            0.6
67             N              0.0448            0.6
68             N              0.0441            0.6
69             N              0.0435            0.6
70             N              0.0429            0.6
71             N              0.0423            0.6
72             N              0.0417            0.6
73             N              0.0411            0.6
74             N              0.0405            0.6
75             N              0.04             0.6
76             N              0.0395            0.6
77             N              0.039            0.6
78             N              0.0385            0.6
79             N              0.038            0.6
80             N              0.0375            0.6
81             N              0.037            0.6
82             N              0.0366            0.6
83             N              0.0361            0.6
84             N              0.0357            0.6
85             N              0.0353            0.6
86             N              0.0349            0.6
87             N              0.0345            0.6
88             N              0.0341            0.6
89             N              0.0337            0.6
90             N              0.0333            0.6
91             N              0.033            0.6
92             N              0.0326            0.6
93             N              0.0323            0.6
94             N              0.0319            0.6
95             N              0.0316            0.6
96             N              0.0312            0.6
97             N              0.0309            0.6
98             N              0.0306            0.6
99             N              0.0303            0.6
100            N              0.03             0.6
**********************************

Average Precision -> 0.9166666666666666
Precision at K = 5 :0.6
Precision at K = 20 :0.15
