Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              N              0.0              0.0
6              N              0.0              0.0
7              R              0.1429           0.05
8              N              0.125           0.05
9              N              0.1111           0.05
10             N              0.1             0.05
11             N              0.0909           0.05
12             R              0.1667            0.1
13             R              0.2308           0.15
14             N              0.2143           0.15
15             N              0.2             0.15
16             N              0.1875           0.15
17             N              0.1765           0.15
18             N              0.1667           0.15
19             N              0.1579           0.15
20             N              0.15            0.15
21             N              0.1429           0.15
22             N              0.1364           0.15
23             N              0.1304           0.15
24             N              0.125           0.15
25             N              0.12            0.15
26             N              0.1154           0.15
27             N              0.1111           0.15
28             N              0.1071           0.15
29             N              0.1034           0.15
30             N              0.1             0.15
31             N              0.0968           0.15
32             N              0.0938           0.15
33             R              0.1212            0.2
34             R              0.1471           0.25
35             N              0.1429           0.25
36             N              0.1389           0.25
37             N              0.1351           0.25
38             N              0.1316           0.25
39             N              0.1282           0.25
40             N              0.125           0.25
41             N              0.122           0.25
42             N              0.119           0.25
43             R              0.1395            0.3
44             N              0.1364            0.3
45             N              0.1333            0.3
46             N              0.1304            0.3
47             N              0.1277            0.3
48             N              0.125            0.3
49             N              0.1224            0.3
50             N              0.12             0.3
51             N              0.1176            0.3
52             N              0.1154            0.3
53             N              0.1132            0.3
54             N              0.1111            0.3
55             N              0.1091            0.3
56             R              0.125           0.35
57             N              0.1228           0.35
58             N              0.1207           0.35
59             N              0.1186           0.35
60             N              0.1167           0.35
61             N              0.1148           0.35
62             N              0.1129           0.35
63             N              0.1111           0.35
64             N              0.1094           0.35
65             N              0.1077           0.35
66             R              0.1212            0.4
67             N              0.1194            0.4
68             N              0.1176            0.4
69             N              0.1159            0.4
70             N              0.1143            0.4
71             N              0.1127            0.4
72             N              0.1111            0.4
73             N              0.1096            0.4
74             N              0.1081            0.4
75             N              0.1067            0.4
76             N              0.1053            0.4
77             N              0.1039            0.4
78             N              0.1026            0.4
79             N              0.1013            0.4
80             R              0.1125           0.45
81             N              0.1111           0.45
82             N              0.1098           0.45
83             N              0.1084           0.45
84             N              0.1071           0.45
85             N              0.1059           0.45
86             N              0.1047           0.45
87             N              0.1034           0.45
88             N              0.1023           0.45
89             N              0.1011           0.45
90             N              0.1             0.45
91             N              0.0989           0.45
92             N              0.0978           0.45
93             N              0.0968           0.45
94             N              0.0957           0.45
95             R              0.1053            0.5
96             R              0.1146           0.55
97             N              0.1134           0.55
98             N              0.1122           0.55
99             N              0.1111           0.55
100            N              0.11            0.55
**********************************

Average Precision -> 0.1388
Precision at K = 5 :0.0
Precision at K = 20 :0.15
