Rank		Relevance		Precision		Recall
1              R              1.0              0.2
2              N              0.5              0.2
3              N              0.3333            0.2
4              N              0.25             0.2
5              N              0.2              0.2
6              N              0.1667            0.2
7              N              0.1429            0.2
8              N              0.125            0.2
9              N              0.1111            0.2
10             N              0.1              0.2
11             N              0.0909            0.2
12             N              0.0833            0.2
13             N              0.0769            0.2
14             N              0.0714            0.2
15             N              0.0667            0.2
16             N              0.0625            0.2
17             N              0.0588            0.2
18             N              0.0556            0.2
19             N              0.0526            0.2
20             N              0.05             0.2
21             N              0.0476            0.2
22             N              0.0455            0.2
23             N              0.0435            0.2
24             N              0.0417            0.2
25             N              0.04             0.2
26             N              0.0385            0.2
27             N              0.037            0.2
28             N              0.0357            0.2
29             N              0.0345            0.2
30             N              0.0333            0.2
31             N              0.0323            0.2
32             N              0.0312            0.2
33             N              0.0303            0.2
34             N              0.0294            0.2
35             N              0.0286            0.2
36             N              0.0278            0.2
37             N              0.027            0.2
38             N              0.0263            0.2
39             N              0.0256            0.2
40             N              0.025            0.2
41             N              0.0244            0.2
42             N              0.0238            0.2
43             N              0.0233            0.2
44             N              0.0227            0.2
45             N              0.0222            0.2
46             N              0.0217            0.2
47             N              0.0213            0.2
48             N              0.0208            0.2
49             N              0.0204            0.2
50             N              0.02             0.2
51             N              0.0196            0.2
52             N              0.0192            0.2
53             N              0.0189            0.2
54             N              0.0185            0.2
55             N              0.0182            0.2
56             N              0.0179            0.2
57             N              0.0175            0.2
58             N              0.0172            0.2
59             N              0.0169            0.2
60             N              0.0167            0.2
61             N              0.0164            0.2
62             N              0.0161            0.2
63             N              0.0159            0.2
64             N              0.0156            0.2
65             N              0.0154            0.2
66             N              0.0152            0.2
67             N              0.0149            0.2
68             N              0.0147            0.2
69             N              0.0145            0.2
70             N              0.0143            0.2
71             N              0.0141            0.2
72             N              0.0139            0.2
73             N              0.0137            0.2
74             N              0.0135            0.2
75             N              0.0133            0.2
76             N              0.0132            0.2
77             N              0.013            0.2
78             N              0.0128            0.2
79             N              0.0127            0.2
80             N              0.0125            0.2
81             N              0.0123            0.2
82             N              0.0122            0.2
83             N              0.012            0.2
84             N              0.0119            0.2
85             N              0.0118            0.2
86             N              0.0116            0.2
87             N              0.0115            0.2
88             N              0.0114            0.2
89             N              0.0112            0.2
90             N              0.0111            0.2
91             N              0.011            0.2
92             N              0.0109            0.2
93             N              0.0108            0.2
94             N              0.0106            0.2
95             N              0.0105            0.2
96             N              0.0104            0.2
97             N              0.0103            0.2
98             N              0.0102            0.2
99             N              0.0101            0.2
100            N              0.01             0.2
**********************************

Average Precision -> 1.0
Precision at K = 5 :0.2
Precision at K = 20 :0.05
