Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              N              0.0              0.0
6              N              0.0              0.0
7              N              0.0              0.0
8              N              0.0              0.0
9              N              0.0              0.0
10             N              0.0              0.0
11             R              0.0909         0.0909
12             N              0.0833         0.0909
13             N              0.0769         0.0909
14             N              0.0714         0.0909
15             N              0.0667         0.0909
16             R              0.125         0.1818
17             N              0.1176         0.1818
18             N              0.1111         0.1818
19             N              0.1053         0.1818
20             N              0.1           0.1818
21             N              0.0952         0.1818
22             R              0.1364         0.2727
23             N              0.1304         0.2727
24             N              0.125         0.2727
25             N              0.12          0.2727
26             N              0.1154         0.2727
27             N              0.1111         0.2727
28             N              0.1071         0.2727
29             N              0.1034         0.2727
30             N              0.1           0.2727
31             N              0.0968         0.2727
32             N              0.0938         0.2727
33             N              0.0909         0.2727
34             N              0.0882         0.2727
35             N              0.0857         0.2727
36             N              0.0833         0.2727
37             N              0.0811         0.2727
38             N              0.0789         0.2727
39             N              0.0769         0.2727
40             N              0.075         0.2727
41             N              0.0732         0.2727
42             N              0.0714         0.2727
43             N              0.0698         0.2727
44             N              0.0682         0.2727
45             N              0.0667         0.2727
46             N              0.0652         0.2727
47             N              0.0638         0.2727
48             N              0.0625         0.2727
49             N              0.0612         0.2727
50             N              0.06          0.2727
51             N              0.0588         0.2727
52             N              0.0577         0.2727
53             N              0.0566         0.2727
54             N              0.0556         0.2727
55             N              0.0545         0.2727
56             N              0.0536         0.2727
57             N              0.0526         0.2727
58             N              0.0517         0.2727
59             N              0.0508         0.2727
60             N              0.05          0.2727
61             N              0.0492         0.2727
62             N              0.0484         0.2727
63             R              0.0635         0.3636
64             N              0.0625         0.3636
65             N              0.0615         0.3636
66             N              0.0606         0.3636
67             N              0.0597         0.3636
68             N              0.0588         0.3636
69             N              0.058         0.3636
70             N              0.0571         0.3636
71             N              0.0563         0.3636
72             N              0.0556         0.3636
73             N              0.0548         0.3636
74             N              0.0541         0.3636
75             N              0.0533         0.3636
76             N              0.0526         0.3636
77             N              0.0519         0.3636
78             N              0.0513         0.3636
79             N              0.0506         0.3636
80             R              0.0625         0.4545
81             N              0.0617         0.4545
82             N              0.061         0.4545
83             N              0.0602         0.4545
84             N              0.0595         0.4545
85             R              0.0706         0.5455
86             N              0.0698         0.5455
87             N              0.069         0.5455
88             N              0.0682         0.5455
89             N              0.0674         0.5455
90             N              0.0667         0.5455
91             N              0.0659         0.5455
92             N              0.0652         0.5455
93             N              0.0645         0.5455
94             N              0.0638         0.5455
95             N              0.0632         0.5455
96             N              0.0625         0.5455
97             N              0.0619         0.5455
98             N              0.0612         0.5455
99             N              0.0606         0.5455
100            N              0.06          0.5455
**********************************

Average Precision -> 0.09148333333333332
Precision at K = 5 :0.0
Precision at K = 20 :0.1
