Rank		Relevance		Precision		Recall
1              N              0.0              0.0
2              N              0.0              0.0
3              N              0.0              0.0
4              N              0.0              0.0
5              N              0.0              0.0
6              N              0.0              0.0
7              N              0.0              0.0
8              N              0.0              0.0
9              N              0.0              0.0
10             R              0.1           0.0833
11             N              0.0909         0.0833
12             N              0.0833         0.0833
13             N              0.0769         0.0833
14             N              0.0714         0.0833
15             N              0.0667         0.0833
16             N              0.0625         0.0833
17             N              0.0588         0.0833
18             N              0.0556         0.0833
19             N              0.0526         0.0833
20             N              0.05          0.0833
21             N              0.0476         0.0833
22             N              0.0455         0.0833
23             N              0.0435         0.0833
24             N              0.0417         0.0833
25             N              0.04          0.0833
26             N              0.0385         0.0833
27             N              0.037         0.0833
28             N              0.0357         0.0833
29             N              0.0345         0.0833
30             N              0.0333         0.0833
31             N              0.0323         0.0833
32             N              0.0312         0.0833
33             N              0.0303         0.0833
34             N              0.0294         0.0833
35             N              0.0286         0.0833
36             N              0.0278         0.0833
37             N              0.027         0.0833
38             N              0.0263         0.0833
39             N              0.0256         0.0833
40             N              0.025         0.0833
41             N              0.0244         0.0833
42             N              0.0238         0.0833
43             N              0.0233         0.0833
44             N              0.0227         0.0833
45             N              0.0222         0.0833
46             N              0.0217         0.0833
47             N              0.0213         0.0833
48             N              0.0208         0.0833
49             N              0.0204         0.0833
50             N              0.02          0.0833
51             N              0.0196         0.0833
52             N              0.0192         0.0833
53             N              0.0189         0.0833
54             N              0.0185         0.0833
55             N              0.0182         0.0833
56             N              0.0179         0.0833
57             N              0.0175         0.0833
58             N              0.0172         0.0833
59             N              0.0169         0.0833
60             N              0.0167         0.0833
61             N              0.0164         0.0833
62             N              0.0161         0.0833
63             N              0.0159         0.0833
64             N              0.0156         0.0833
65             N              0.0154         0.0833
66             N              0.0152         0.0833
67             N              0.0149         0.0833
68             N              0.0147         0.0833
69             N              0.0145         0.0833
70             N              0.0143         0.0833
71             N              0.0141         0.0833
72             N              0.0139         0.0833
73             N              0.0137         0.0833
74             N              0.0135         0.0833
75             N              0.0133         0.0833
76             N              0.0132         0.0833
77             N              0.013         0.0833
78             N              0.0128         0.0833
79             N              0.0127         0.0833
80             N              0.0125         0.0833
81             N              0.0123         0.0833
82             N              0.0122         0.0833
83             N              0.012         0.0833
84             N              0.0119         0.0833
85             N              0.0118         0.0833
86             N              0.0116         0.0833
87             N              0.0115         0.0833
88             N              0.0114         0.0833
89             N              0.0112         0.0833
90             N              0.0111         0.0833
91             N              0.011         0.0833
92             N              0.0109         0.0833
93             N              0.0108         0.0833
94             N              0.0106         0.0833
95             N              0.0105         0.0833
96             N              0.0104         0.0833
97             N              0.0103         0.0833
98             N              0.0102         0.0833
99             N              0.0101         0.0833
100            N              0.01          0.0833
**********************************

Average Precision -> 0.1
Precision at K = 5 :0.0
Precision at K = 20 :0.05
