Rank		Relevance		Precision		Recall
1              R              1.0           0.0345
2              R              1.0            0.069
3              R              1.0           0.1034
4              N              0.75          0.1034
5              N              0.6           0.1034
6              R              0.6667         0.1379
7              R              0.7143         0.1724
8              R              0.75          0.2069
9              N              0.6667         0.2069
10             N              0.6           0.2069
11             N              0.5455         0.2069
12             N              0.5           0.2069
13             N              0.4615         0.2069
14             R              0.5           0.2414
15             N              0.4667         0.2414
16             N              0.4375         0.2414
17             R              0.4706         0.2759
18             N              0.4444         0.2759
19             N              0.4211         0.2759
20             N              0.4           0.2759
21             N              0.381         0.2759
22             N              0.3636         0.2759
23             N              0.3478         0.2759
24             N              0.3333         0.2759
25             N              0.32          0.2759
26             N              0.3077         0.2759
27             R              0.3333         0.3103
28             N              0.3214         0.3103
29             R              0.3448         0.3448
30             N              0.3333         0.3448
31             N              0.3226         0.3448
32             N              0.3125         0.3448
33             N              0.303         0.3448
34             R              0.3235         0.3793
35             N              0.3143         0.3793
36             N              0.3056         0.3793
37             N              0.2973         0.3793
38             N              0.2895         0.3793
39             N              0.2821         0.3793
40             R              0.3           0.4138
41             N              0.2927         0.4138
42             N              0.2857         0.4138
43             N              0.2791         0.4138
44             N              0.2727         0.4138
45             R              0.2889         0.4483
46             N              0.2826         0.4483
47             N              0.2766         0.4483
48             N              0.2708         0.4483
49             N              0.2653         0.4483
50             N              0.26          0.4483
51             N              0.2549         0.4483
52             N              0.25          0.4483
53             N              0.2453         0.4483
54             R              0.2593         0.4828
55             N              0.2545         0.4828
56             N              0.25          0.4828
57             N              0.2456         0.4828
58             N              0.2414         0.4828
59             N              0.2373         0.4828
60             N              0.2333         0.4828
61             N              0.2295         0.4828
62             N              0.2258         0.4828
63             N              0.2222         0.4828
64             R              0.2344         0.5172
65             N              0.2308         0.5172
66             N              0.2273         0.5172
67             N              0.2239         0.5172
68             R              0.2353         0.5517
69             N              0.2319         0.5517
70             N              0.2286         0.5517
71             N              0.2254         0.5517
72             N              0.2222         0.5517
73             R              0.2329         0.5862
74             N              0.2297         0.5862
75             N              0.2267         0.5862
76             N              0.2237         0.5862
77             N              0.2208         0.5862
78             N              0.2179         0.5862
79             N              0.2152         0.5862
80             N              0.2125         0.5862
81             N              0.2099         0.5862
82             N              0.2073         0.5862
83             N              0.2048         0.5862
84             N              0.2024         0.5862
85             N              0.2           0.5862
86             N              0.1977         0.5862
87             R              0.2069         0.6207
88             N              0.2045         0.6207
89             N              0.2022         0.6207
90             N              0.2           0.6207
91             N              0.1978         0.6207
92             N              0.1957         0.6207
93             N              0.1935         0.6207
94             N              0.1915         0.6207
95             N              0.1895         0.6207
96             N              0.1875         0.6207
97             N              0.1856         0.6207
98             N              0.1837         0.6207
99             N              0.1818         0.6207
100            N              0.18          0.6207
**********************************

Average Precision -> 0.4922722222222223
Precision at K = 5 :0.6
Precision at K = 20 :0.4
