optimization of intermediate and machine code
17 Q0 CACM-2491 1 0.46479943616218133 TFIDFSystem
17 Q0 CACM-1795 2 0.41042904286895987 TFIDFSystem
17 Q0 CACM-2748 3 0.3892659432590302 TFIDFSystem
17 Q0 CACM-2464 4 0.36257462707474536 TFIDFSystem
17 Q0 CACM-2897 5 0.2971667388307191 TFIDFSystem
17 Q0 CACM-2495 6 0.2615363782168546 TFIDFSystem
17 Q0 CACM-1655 7 0.24139185979203362 TFIDFSystem
17 Q0 CACM-1362 8 0.23591916444992045 TFIDFSystem
17 Q0 CACM-0048 9 0.2270190896976863 TFIDFSystem
17 Q0 CACM-1756 10 0.21879347291788576 TFIDFSystem
17 Q0 CACM-0797 11 0.21423527556542982 TFIDFSystem
17 Q0 CACM-1231 12 0.21165242764332987 TFIDFSystem
17 Q0 CACM-1947 13 0.20755109996618798 TFIDFSystem
17 Q0 CACM-1658 14 0.20263987088571617 TFIDFSystem
17 Q0 CACM-2079 15 0.20186324411893722 TFIDFSystem
17 Q0 CACM-0195 16 0.20163320053216924 TFIDFSystem
17 Q0 CACM-2533 17 0.19933163699385714 TFIDFSystem
17 Q0 CACM-2527 18 0.1919350470441895 TFIDFSystem
17 Q0 CACM-1275 19 0.19092670801967354 TFIDFSystem
17 Q0 CACM-1289 20 0.19043135605815983 TFIDFSystem
17 Q0 CACM-3080 21 0.18685483571094902 TFIDFSystem
17 Q0 CACM-2835 22 0.1849687164723966 TFIDFSystem
17 Q0 CACM-2611 23 0.18416488994272778 TFIDFSystem
17 Q0 CACM-1414 24 0.18040865310773035 TFIDFSystem
17 Q0 CACM-1064 25 0.18040865310773035 TFIDFSystem
17 Q0 CACM-0230 26 0.18040865310773035 TFIDFSystem
17 Q0 CACM-2834 27 0.17942424246330857 TFIDFSystem
17 Q0 CACM-0210 28 0.1779502014171782 TFIDFSystem
17 Q0 CACM-1992 29 0.17578279020753215 TFIDFSystem
17 Q0 CACM-1232 30 0.17559852749087942 TFIDFSystem
17 Q0 CACM-1652 31 0.17160305100117643 TFIDFSystem
17 Q0 CACM-1187 32 0.17138822045234386 TFIDFSystem
17 Q0 CACM-2107 33 0.16884504441998244 TFIDFSystem
17 Q0 CACM-2616 34 0.16762724332465795 TFIDFSystem
17 Q0 CACM-0091 35 0.16401727634668364 TFIDFSystem
17 Q0 CACM-0035 36 0.16401727634668364 TFIDFSystem
17 Q0 CACM-2904 37 0.1613037821206416 TFIDFSystem
17 Q0 CACM-3005 38 0.15505971591029877 TFIDFSystem
17 Q0 CACM-1676 39 0.15346860856738453 TFIDFSystem
17 Q0 CACM-1016 40 0.15067281181729836 TFIDFSystem
17 Q0 CACM-3054 41 0.14945763728310676 TFIDFSystem
17 Q0 CACM-0066 42 0.14903323517595118 TFIDFSystem
17 Q0 CACM-1223 43 0.14817264687449389 TFIDFSystem
17 Q0 CACM-0079 44 0.14165128411759043 TFIDFSystem
17 Q0 CACM-2253 45 0.13908599046177939 TFIDFSystem
17 Q0 CACM-3066 46 0.13903676903329545 TFIDFSystem
17 Q0 CACM-1065 47 0.13797027159997668 TFIDFSystem
17 Q0 CACM-2964 48 0.13446455889217981 TFIDFSystem
17 Q0 CACM-1204 49 0.1337689611845063 TFIDFSystem
17 Q0 CACM-0333 50 0.1332126760275637 TFIDFSystem
17 Q0 CACM-1564 51 0.12891510790413604 TFIDFSystem
17 Q0 CACM-1973 52 0.12869905777895563 TFIDFSystem
17 Q0 CACM-2929 53 0.1275563504643899 TFIDFSystem
17 Q0 CACM-1670 54 0.12714294288125463 TFIDFSystem
17 Q0 CACM-2979 55 0.12637229106610443 TFIDFSystem
17 Q0 CACM-2746 56 0.12151367281040809 TFIDFSystem
17 Q0 CACM-2106 57 0.12053901876130194 TFIDFSystem
17 Q0 CACM-1167 58 0.11908688591584489 TFIDFSystem
17 Q0 CACM-2586 59 0.11819877272575438 TFIDFSystem
17 Q0 CACM-1757 60 0.11819877272575438 TFIDFSystem
17 Q0 CACM-1886 61 0.1175507306290741 TFIDFSystem
17 Q0 CACM-2344 62 0.11718342678420875 TFIDFSystem
17 Q0 CACM-0059 63 0.11714151734542716 TFIDFSystem
17 Q0 CACM-1402 64 0.11678792951893639 TFIDFSystem
17 Q0 CACM-0537 65 0.1154271576760075 TFIDFSystem
17 Q0 CACM-1523 66 0.11527046263717126 TFIDFSystem
17 Q0 CACM-1331 67 0.11486258429885238 TFIDFSystem
17 Q0 CACM-1752 68 0.11439046987972001 TFIDFSystem
17 Q0 CACM-3171 69 0.1140753700175201 TFIDFSystem
17 Q0 CACM-1807 70 0.11284058463102711 TFIDFSystem
17 Q0 CACM-2133 71 0.11049893396563668 TFIDFSystem
17 Q0 CACM-3173 72 0.10953786430410101 TFIDFSystem
17 Q0 CACM-2624 73 0.10842373490937315 TFIDFSystem
17 Q0 CACM-1915 74 0.10573491248202749 TFIDFSystem
17 Q0 CACM-0084 75 0.10571307662880011 TFIDFSystem
17 Q0 CACM-0086 76 0.10410085066571491 TFIDFSystem
17 Q0 CACM-1162 77 0.10384630483056956 TFIDFSystem
17 Q0 CACM-1542 78 0.10227572547979638 TFIDFSystem
17 Q0 CACM-0241 79 0.10212231280767611 TFIDFSystem
17 Q0 CACM-2836 80 0.10158578612193235 TFIDFSystem
17 Q0 CACM-1066 81 0.10115561587953611 TFIDFSystem
17 Q0 CACM-2552 82 0.10081660026608462 TFIDFSystem
17 Q0 CACM-2411 83 0.10081423575111115 TFIDFSystem
17 Q0 CACM-1852 84 0.10019403081633244 TFIDFSystem
17 Q0 CACM-3000 85 0.09987119096736102 TFIDFSystem
17 Q0 CACM-1392 86 0.09866198029356484 TFIDFSystem
17 Q0 CACM-1486 87 0.09864148031704664 TFIDFSystem
17 Q0 CACM-1154 88 0.09799013114715369 TFIDFSystem
17 Q0 CACM-2557 89 0.09767800754895142 TFIDFSystem
17 Q0 CACM-1389 90 0.09737926857459199 TFIDFSystem
17 Q0 CACM-1621 91 0.09667793230360178 TFIDFSystem
17 Q0 CACM-2138 92 0.0962688879438433 TFIDFSystem
17 Q0 CACM-2264 93 0.09553894505108 TFIDFSystem
17 Q0 CACM-1719 94 0.09523192906152549 TFIDFSystem
17 Q0 CACM-1553 95 0.09502871745249897 TFIDFSystem
17 Q0 CACM-0252 96 0.09472911449304464 TFIDFSystem
17 Q0 CACM-2433 97 0.0941932259111444 TFIDFSystem
17 Q0 CACM-1195 98 0.09418220518156539 TFIDFSystem
17 Q0 CACM-2858 99 0.09325648426877525 TFIDFSystem
17 Q0 CACM-0719 100 0.09285581614914191 TFIDFSystem
